# TESS Program G07096

Title: Gyrochronology Of Wide Binary Systems

PI: Lares Martiz, Mariel - Embry-Riddle Aeronautical University

Type: SMALL

Summary: Wide binaries are noninteracting coeval pairs of stars that evolve as single stars. They have largely untapped potential to test the empirical rotation-age-mass paradigm known as gyrochronology. New observations of main sequence components of 3296 wide binaries accessible during TESS Cycle 7 are proposed. Our primary goals are to determine whether they follow the same gyrochronology paradigm as cluster stars and to populate the rotation-age-mass relation, especially to ages beyond 1-2 Gyr. Our analysis includes the effects of blended stellar images, light curve systematics, differential rotation, and the identification of occasional spots on opposing hemispheres. The outcome of this project will provide important guidance for improving gyrochronology models.


# Sector 084 targets observed (2 min: 36, 20 s: 1)
236887394,303.3819,65.1625,11.85,G07010;G07066;G07096;20SECONDTARGET
422431234,319.2379,67.7483,11.69,G07089;G07096
275690559,286.7065,61.0978,8.91,G07036;G07009;G07096
383646543,278.8267,62.4335,11.15,G07036;G07096
383673617,278.9778,62.4263,10.74,G07036;G07096
402448314,294.1138,69.7502,10.64,G07036;G07096
416401512,287.8119,58.3937,11.99,G07036;G07096
416401516,287.7918,58.3919,12.12,G07036;G07096
229593785,272.948,72.7852,11.32,G07036;G07096
229593788,272.9463,72.7957,10.5,G07036;G07096
229650743,280.946,75.8773,11.55,G07036;G07096
233010801,248.5572,75.9831,8.79,G07036;G07009;G07096
341873878,275.2051,74.8948,10.56,G07036;G07096
406855226,274.6579,70.7057,9.29,G07036;G07096
406855227,274.633,70.705,9.46,G07036;G07096
422827966,270.0521,75.7876,11.56,G07036;G07096
441736266,258.6763,74.0887,12.63,G07036;G07096
441788938,262.4383,74.4977,10.67,G07036;G07096
441810468,267.081,77.9572,12.24,G07036;G07096
198162530,243.9057,61.9272,12.19,G07036;G07096
198213063,248.5911,60.7303,8.94,G07036;G07096
198391312,258.5581,59.1781,11.39,G07036;G07096
198391313,258.5331,59.1766,10.98,G07036;G07096
199713861,254.1074,57.7428,10.74,G07036;G07096
219778464,263.71,64.8026,11.43,G07036;G07096
224604854,255.5616,59.7212,12.23,G07036;G07096
230073581,244.1692,67.2394,6.97,G07036;G07066;G07096;20SECONDTARGET
230078093,245.0218,68.4159,10.77,G07036;G07096
230113062,248.6104,67.0513,11.89,G07036;G07096
198381449,257.5448,54.4936,7.77,G07036;G07096;G07170;20SECONDTARGET
233155407,274.7356,60.8792,10.98,G07036;G07096
329247724,263.9577,55.6673,10.75,G07036;G07096
353819174,270.58,57.3114,11.69,G07036;G07096

# Sector 086 targets observed (2 min: 42, 20 s: 11)
353261802,62.1753,41.2166,10.91,G07089;G07096
85623041,57.0067,68.6746,7.99,G07096;20SECONDTARGET
396565611,44.5142,73.3282,10.38,G07096
251118265,42.6789,57.0009,8.46,G07096
286636275,46.0507,61.701,6.03,G07066;G07096;20SECONDTARGET
416236604,75.8799,63.0803,7.27,G07096;20SECONDTARGET
416236614,75.8903,63.0881,6.99,G07096;20SECONDTARGET
317597583,352.0166,75.5525,8.99,G07096;20SECONDTARGET
159331746,232.2872,80.4493,6.03,G07036;G07096;20SECONDTARGET
159331748,232.3392,80.451,6.63,G07096;20SECONDTARGET
235928353,291.0664,79.7271,9.92,G07036;G07096
235928358,290.9447,79.7439,10.1,G07036;G07096
288735205,282.1001,79.2567,11.15,G07036;G07157;G07066;G07096;20SECONDTARGET
236887394,303.3819,65.1625,11.85,G07010;G07066;G07096;20SECONDTARGET
402448314,294.1138,69.7502,10.64,G07036;G07096
229593785,272.948,72.7852,11.32,G07036;G07096
229593788,272.9463,72.7957,10.5,G07036;G07096
229650743,280.946,75.8773,11.55,G07036;G07096
230073581,244.1692,67.2394,6.97,G07036;G07066;G07096;20SECONDTARGET
230078093,245.0218,68.4159,10.77,G07036;G07096
230113062,248.6104,67.0513,11.89,G07036;G07096
233010801,248.5572,75.9831,8.79,G07036;G07009;G07096
341873878,275.2051,74.8948,10.56,G07036;G07096
406855226,274.6579,70.7057,9.29,G07036;G07096
406855227,274.633,70.705,9.46,G07036;G07096
422827966,270.0521,75.7876,11.56,G07036;G07096
441736266,258.6763,74.0887,12.63,G07036;G07096
198162530,243.9057,61.9272,12.19,G07036;G07096
198213063,248.5911,60.7303,8.94,G07036;G07096
198381449,257.5448,54.4936,7.77,G07036;G07096;G07170;20SECONDTARGET
198391312,258.5581,59.1781,11.39,G07036;G07096
198391313,258.5331,59.1766,10.98,G07036;G07096
199713861,254.1074,57.7428,10.74,G07036;G07096
219778464,263.71,64.8026,11.43,G07036;G07096
224604854,255.5616,59.7212,12.23,G07036;G07096
329247724,263.9577,55.6673,10.75,G07036;G07096
233155407,274.7356,60.8792,10.98,G07036;G07096
353819174,270.58,57.3114,11.69,G07036;G07096
383646543,278.8267,62.4335,11.15,G07036;G07096
383673617,278.9778,62.4263,10.74,G07036;G07096
416401512,287.8119,58.3937,11.99,G07036;G07096
416401516,287.7918,58.3919,12.12,G07036;G07096

# Sector 087 targets observed (2 min: 121, 20 s: 9)
282210766,103.0714,-5.1737,5.57,G07096;20SECONDTARGET
91928222,89.017,13.9216,6.01,G07009;G07096;20SECONDTARGET
32949762,87.6796,-27.6234,12.34,G07157;G07066;G07096
177414713,106.8413,-11.4367,9.86,G07096;20SECONDTARGET
173079045,111.019,-40.045,8.77,G07009;G07096;20SECONDTARGET
60076135,111.0752,-42.7059,9.68,G07096;20SECONDTARGET
192790476,82.1436,-39.373,9.39,G07157;G07096;20SECONDTARGET
290716988,84.2371,-47.9647,7.02,G07096;20SECONDTARGET
350858673,90.2301,-54.8985,11.41,G07077;G07096
278775329,99.728,-55.6771,10.31,G07036;G07077;G07096
150391195,96.6587,-63.1513,11.03,G07036;G07096
167305688,98.1768,-66.2704,10.34,G07036;G07096
167305689,98.1733,-66.2706,10.2,G07036;G07096
167419169,99.7489,-67.2224,10.54,G07036;G07096
167552090,100.862,-63.8374,10.81,G07036;G07096
167554037,101.0034,-60.308,12.72,G07036;G07096
167554039,101.0056,-60.3079,11.92,G07036;G07096
167755378,104.2042,-62.1672,9.79,G07036;G07096
167888669,105.1122,-64.5703,10.2,G07036;G07096
167888675,105.1382,-64.5741,10.56,G07036;G07096
177079273,103.2263,-67.6133,12.21,G07036;G07096
177079274,103.2306,-67.6125,11.78,G07036;G07096
278990528,101.9468,-58.8387,12.11,G07077;G07096
293971911,106.7304,-57.9684,11.96,G07036;G07096;G07096
293971913,106.7569,-57.9706,11.65,G07036;G07096;G07096
300561381,112.9142,-66.7146,11.0,G07036;G07096
339891888,112.0083,-59.3728,12.78,G07036;G07096
339891905,111.9837,-59.3925,9.26,G07036;G07096
349154302,108.2092,-61.8453,11.35,G07036;G07036;G07096
349376367,110.199,-64.3355,11.98,G07036;G07036;G07096
349409296,110.3278,-62.6638,11.22,G07036;G07096
349409297,110.3287,-62.663,11.21,G07036;G07096
349683698,112.5468,-63.4348,10.72,G07036;G07036;G07096
349831092,113.5891,-62.9083,11.21,G07036;G07096
349831145,113.6158,-62.9641,12.18,G07036;G07096
350092591,114.9379,-62.3787,11.48,G07036;G07096
350092592,114.9404,-62.379,11.94,G07036;G07096
382519050,117.5079,-65.7671,12.34,G07036;G07096
382519052,117.5153,-65.7692,12.49,G07036;G07096
410446521,117.8894,-64.5691,11.78,G07036;G07096
737165370,96.6597,-63.1509,12.22,G07036;G07096
765165617,117.8904,-64.5698,12.74,G07036;G07096
765326000,110.1994,-64.3352,12.54,G07036;G07096
765419968,100.8606,-63.837,11.14,G07036;G07096
765444984,108.2097,-61.8447,11.38,G07036;G07096
765561909,112.5464,-63.4351,10.9,G07036;G07096
149180076,81.7763,-65.5512,11.09,G07036;G07096
149180088,81.7685,-65.5566,10.6,G07036;G07096;G07096
149274312,83.1239,-62.7581,10.27,G07036;G07096
149302338,83.2191,-61.3464,12.56,G07036;G07096
149302339,83.2206,-61.3477,12.68,G07036;G07096
149449385,85.0131,-62.8795,12.17,G07036;G07096
149449388,85.018,-62.8767,12.38,G07036;G07096
150101616,92.0065,-63.4993,10.92,G07036;G07077;G07096
309659124,79.5084,-60.6881,10.75,G07036;G07096
309659126,79.5065,-60.69,10.11,G07036;G07071;G07096
350345733,84.7217,-56.458,11.41,G07036;G07096
350744311,88.8988,-55.9311,11.43,G07036;G07036;G07096
350933090,90.7713,-59.1007,12.86,G07036;G07096
350933091,90.7779,-59.1013,11.02,G07036;G07096
358806516,72.4559,-60.7481,10.49,G07036;G07096
358806522,72.4694,-60.7308,12.01,G07036;G07096
382101389,80.0418,-55.9731,12.03,G07036;G07096
55363479,76.9875,-64.8964,11.43,G07036;G07096
55650170,73.8468,-63.4508,10.24,G07036;G07096
55755223,75.1252,-62.6377,11.01,G07036;G07096
55780996,75.4853,-60.5118,9.72,G07036;G07096
734531490,84.7203,-56.4576,12.51,G07036;G07036;G07096
734548584,88.8992,-55.9311,11.56,G07036;G07096
734603429,80.0402,-55.9727,11.05,G07036;G07036;G07096
141025090,79.0004,-72.2311,9.62,G07036;G07096
141185142,81.4471,-74.4217,11.4,G07036;G07096
179583882,80.5457,-69.7648,9.48,G07036;G07096
238198520,57.3447,-75.1657,12.26,G07036;G07096;G07096
238198525,57.4127,-75.1786,11.14,G07036;G07096;G07096
238227682,58.8529,-74.7782,12.01,G07036;G07096
25131889,62.2076,-67.1806,12.13,G07036;G07096
25131892,62.2069,-67.1822,11.42,G07036;G07096
294929894,72.3094,-69.6114,12.15,G07036;G07096
294929896,72.2992,-69.6102,11.06,G07036;G07096
29781832,64.9991,-66.3541,11.9,G07077;G07096
29832209,66.444,-69.9936,7.26,G07036;G07096;20SECONDTARGET
30034266,73.0377,-70.8533,12.21,G07036;G07096
30034268,73.0014,-70.8534,11.82,G07036;G07096
31798927,51.0685,-70.9849,11.13,G07036;G07096
31929204,54.1729,-69.1984,11.28,G07036;G07096;G07096
31929205,54.184,-69.2006,11.09,G07036;G07096;G07096
31999341,55.9585,-68.5715,10.8,G07036;G07077;G07096;G07096
32032672,56.0221,-68.5124,11.43,G07036;G07077;G07096;G07096
32032862,56.1708,-67.8853,12.58,G07036;G07096
32032865,56.1395,-67.8741,12.06,G07036;G07096
32052607,57.3142,-67.9925,11.02,G07036;G07096
32052608,57.3188,-67.9921,10.36,G07036;G07096
33715210,60.8374,-72.336,10.2,G07036;G07077;G07096
33877401,65.8974,-76.7206,10.65,G07036;G07077;G07096;G07096
33877402,65.9519,-76.7196,10.75,G07036;G07096;G07096
38609671,64.9509,-65.4549,11.21,G07036;G07096
38609673,64.9534,-65.4548,11.39,G07036;G07096
38761335,67.2023,-65.0122,10.86,G07036;G07096
388129477,63.5293,-66.8233,11.7,G07036;G07096
388129478,63.5362,-66.8229,12.03,G07036;G07096
650140832,58.8509,-74.7779,12.66,G07036;G07096
141709237,90.6039,-76.5441,10.82,G07036;G07096
141941708,95.0023,-75.7606,10.67,G07036;G07096
141941710,95.0366,-75.7624,11.42,G07036;G07077;G07096
167126073,96.5492,-68.8827,12.02,G07036;G07096
167417695,99.7866,-69.6571,11.49,G07036;G07096
167422188,99.8445,-69.5684,10.86,G07036;G07096
177170633,104.6847,-69.322,11.71,G07036;G07096;G07096
177170648,104.6474,-69.3274,12.3,G07036;G07096;G07096
177308364,103.4222,-73.0758,9.41,G07036;G07096;20SECONDTARGET
177308369,103.4371,-73.0857,12.81,G07036;G07096
270427926,96.0629,-79.7611,11.37,G07036;G07096
270427928,96.0732,-79.7623,12.04,G07036;G07096
271808981,112.0601,-73.6616,11.98,G07036;G07096
271808983,112.0566,-73.6615,11.7,G07036;G07096
287640015,125.8558,-75.4427,10.76,G07036;G07096;G07096
306896251,122.2043,-70.7322,11.1,G07036;G07096;G07096
307490251,126.1586,-70.1598,8.89,G07036;G07096
41361145,92.4114,-71.1647,11.55,G07036;G07096
41361147,92.4085,-71.1661,11.64,G07036;G07096

# Sector 088 targets observed (2 min: 128, 20 s: 8)
66100263,114.9977,-3.5994,6.29,G07096;20SECONDTARGET
95120196,115.6647,-7.9436,8.6,G07009;G07096
13622211,132.8211,-6.2622,8.69,G07009;G07096
443956255,123.8869,11.4293,7.08,G07096;20SECONDTARGET
455206148,125.1031,1.3864,8.95,G07009;G07096
128902569,118.543,-25.3018,8.18,G07009;G07066;G07096
50651990,112.6671,-15.9953,7.13,G07096;20SECONDTARGET
285833485,130.5288,-42.9301,7.26,G07096;20SECONDTARGET
173079045,111.019,-40.045,8.77,G07009;G07096;20SECONDTARGET
60076135,111.0752,-42.7059,9.68,G07096;20SECONDTARGET
232032071,96.4288,-47.1316,9.4,G07089;G07096;G07096
278775329,99.728,-55.6771,10.31,G07036;G07077;G07096
293971911,106.7304,-57.9684,11.96,G07036;G07096;G07096
293971913,106.7569,-57.9706,11.65,G07036;G07096;G07096
308926825,123.0287,-60.3108,8.77,G07009;G07096
339891888,112.0083,-59.3728,12.78,G07036;G07096
339891905,111.9837,-59.3925,9.26,G07036;G07096
167125515,96.3274,-68.2997,12.52,G07036;G07096
167125519,96.3287,-68.3008,12.63,G07036;G07096
167126073,96.5492,-68.8827,12.02,G07036;G07096
167305688,98.1768,-66.2704,10.34,G07036;G07096
167305689,98.1733,-66.2706,10.2,G07036;G07096
167417695,99.7866,-69.6571,11.49,G07036;G07096
167419169,99.7489,-67.2224,10.54,G07036;G07096
167422188,99.8445,-69.5684,10.86,G07036;G07096
167552090,100.862,-63.8374,10.81,G07036;G07096
167755378,104.2042,-62.1672,9.79,G07036;G07096
167888669,105.1122,-64.5703,10.2,G07036;G07096
167888675,105.1382,-64.5741,10.56,G07036;G07096
177079273,103.2263,-67.6133,12.21,G07036;G07096
177079274,103.2306,-67.6125,11.78,G07036;G07096
177170633,104.6847,-69.322,11.71,G07036;G07096;G07096
177170648,104.6474,-69.3274,12.3,G07036;G07096;G07096
300561381,112.9142,-66.7146,11.0,G07036;G07096
306896251,122.2043,-70.7322,11.1,G07036;G07096;G07096
349154302,108.2092,-61.8453,11.35,G07036;G07036;G07096
349376367,110.199,-64.3354,11.98,G07036;G07036;G07096
349409296,110.3278,-62.6638,11.22,G07036;G07096
349409297,110.3287,-62.663,11.21,G07036;G07096
349683698,112.5468,-63.4348,10.72,G07036;G07036;G07096
349831092,113.5891,-62.9083,11.21,G07036;G07096
349831145,113.6158,-62.9641,12.18,G07036;G07096
350092591,114.9379,-62.3787,11.48,G07036;G07096
350092592,114.9404,-62.379,11.94,G07036;G07096
382519050,117.5079,-65.7671,12.34,G07036;G07096
382519052,117.5153,-65.7692,12.49,G07036;G07096
410446521,117.8894,-64.5691,11.78,G07036;G07096
41529304,93.77,-68.0681,10.81,G07036;G07096
41529307,93.6704,-68.07,11.89,G07036;G07096
765165617,117.8904,-64.5698,12.74,G07036;G07096
765326000,110.1994,-64.3352,12.54,G07036;G07096
765419968,100.8606,-63.837,11.14,G07036;G07096
765444984,108.2097,-61.8447,11.38,G07036;G07096
765561909,112.5464,-63.4351,10.9,G07036;G07096
149274312,83.1239,-62.7581,10.27,G07036;G07096
149302338,83.2191,-61.3464,12.56,G07036;G07096
149302339,83.2206,-61.3477,12.68,G07036;G07096
149449385,85.0131,-62.8795,12.17,G07036;G07096
149449388,85.018,-62.8767,12.38,G07036;G07096
150101616,92.0065,-63.4993,10.92,G07036;G07077;G07096
150391195,96.6587,-63.1513,11.03,G07036;G07096
260369147,95.2023,-57.0272,10.1,G07036;G07096
278990528,101.9468,-58.8387,12.11,G07077;G07096
309659124,79.5084,-60.6881,10.75,G07036;G07096
309659126,79.5065,-60.69,10.11,G07036;G07071;G07096
350345733,84.7217,-56.458,11.41,G07036;G07096
350744311,88.8988,-55.9311,11.43,G07036;G07036;G07096
350858673,90.2301,-54.8985,11.41,G07077;G07096
350933090,90.7713,-59.1007,12.86,G07036;G07096
350933091,90.7779,-59.1013,11.02,G07036;G07096
382101389,80.0418,-55.9731,12.03,G07036;G07096
55780996,75.4853,-60.5118,9.72,G07036;G07096
734531490,84.7203,-56.4576,12.51,G07036;G07036;G07096
734548584,88.8992,-55.9311,11.56,G07036;G07096
734603429,80.0402,-55.9727,11.05,G07036;G07036;G07096
737165370,96.6597,-63.1509,12.22,G07036;G07096
179583882,80.5457,-69.7648,9.48,G07036;G07096
231742782,78.0842,-67.1316,11.26,G07036;G07096;G07096
231742789,78.0961,-67.1333,10.73,G07036;G07096;G07096
237923291,57.3259,-63.9194,11.78,G07036;G07096
237927164,57.9957,-65.8156,11.03,G07036;G07096
237927165,57.9988,-65.8153,12.69,G07036;G07096
237930237,58.3626,-65.249,11.8,G07077;G07096
238227682,58.8529,-74.7782,12.01,G07036;G07096
25131889,62.2077,-67.1806,12.13,G07036;G07096
25131892,62.2069,-67.1822,11.42,G07036;G07096
294929894,72.3094,-69.6114,12.15,G07036;G07096
294929896,72.2992,-69.6102,11.06,G07036;G07096
29781832,64.9991,-66.3541,11.9,G07077;G07096
29832209,66.444,-69.9936,7.26,G07036;G07096;20SECONDTARGET
30034266,73.0377,-70.8533,12.21,G07036;G07096
30034268,73.0014,-70.8534,11.82,G07036;G07096
31929204,54.1729,-69.1984,11.28,G07036;G07096;G07096
31929205,54.184,-69.2006,11.09,G07036;G07096;G07096
31961121,54.8399,-68.0661,12.6,G07036;G07096
31961123,54.8482,-68.0645,12.15,G07036;G07096
31999341,55.9585,-68.5715,10.8,G07036;G07077;G07096;G07096
32032672,56.0221,-68.5124,11.43,G07036;G07077;G07096;G07096
32032862,56.1708,-67.8853,12.58,G07036;G07096
32032865,56.1395,-67.8741,12.06,G07036;G07096
32052607,57.3142,-67.9925,11.02,G07036;G07096
32052608,57.3188,-67.9921,10.36,G07036;G07096
33715210,60.8374,-72.336,10.2,G07036;G07077;G07096
38507951,62.1995,-62.3815,11.82,G07036;G07096
38507963,62.1697,-62.4122,11.45,G07036;G07077;G07096
38609671,64.9509,-65.4549,11.21,G07036;G07096
38609673,64.9534,-65.4548,11.39,G07036;G07096
38761335,67.2023,-65.0122,10.86,G07036;G07096
388129477,63.5293,-66.8233,11.7,G07036;G07096
388129478,63.5362,-66.8229,12.03,G07036;G07096
55363479,76.9875,-64.8964,11.43,G07036;G07096
55650170,73.8468,-63.4508,10.24,G07036;G07096
650140832,58.8509,-74.7779,12.66,G07036;G07096
650429705,57.3271,-63.9197,12.05,G07036;G07096
141185142,81.4471,-74.4217,11.4,G07036;G07096
141709237,90.6039,-76.5441,10.82,G07036;G07096
141941708,95.0023,-75.7606,10.67,G07036;G07096
141941710,95.0366,-75.7624,11.42,G07036;G07077;G07096
177308364,103.4222,-73.0758,9.41,G07036;G07096;20SECONDTARGET
177308369,103.4371,-73.0857,12.81,G07036;G07096
270427926,96.0629,-79.7611,11.37,G07036;G07096
270427928,96.0732,-79.7623,12.04,G07036;G07096
271808981,112.0601,-73.6616,11.98,G07036;G07096
271808983,112.0566,-73.6615,11.7,G07036;G07096
33877401,65.8974,-76.7206,10.65,G07036;G07077;G07096;G07096
33877402,65.9519,-76.7196,10.75,G07036;G07096;G07096
41361145,92.4114,-71.1647,11.55,G07036;G07096
41361147,92.4085,-71.1661,11.64,G07036;G07096

# Sector 089 targets observed (2 min: 133, 20 s: 4)
289736264,146.6064,-14.5281,8.79,G07009;G07096
308841571,152.4018,-17.841,9.63,G07096;20SECONDTARGET
176660024,141.6827,-18.323,11.84,G07077;G07096;G07096
285833485,130.5287,-42.9301,7.26,G07096;20SECONDTARGET
293971911,106.7303,-57.9684,11.96,G07036;G07096;G07096
293971913,106.7569,-57.9706,11.65,G07036;G07096;G07096
339891888,112.0083,-59.3728,12.78,G07036;G07096
339891905,111.9837,-59.3925,9.26,G07036;G07096
122266693,133.2608,-59.3133,10.45,G07140;G07096
307365390,125.5277,-66.5738,10.73,G07036;G07096
308926825,123.0287,-60.3108,8.77,G07009;G07096
350092591,114.9379,-62.3787,11.48,G07036;G07096
350092592,114.9404,-62.379,11.94,G07036;G07096
383952870,135.4396,-58.685,10.39,G07140;G07089;G07096
383952951,135.5167,-58.7086,11.39,G07140;G07096
410446521,117.8894,-64.5691,11.78,G07036;G07096
765165617,117.8904,-64.5698,12.74,G07036;G07096
808234509,133.2603,-59.3128,11.74,G07140;G07096
167125515,96.3274,-68.2997,12.52,G07036;G07096
167125519,96.3287,-68.3008,12.63,G07036;G07096
167126073,96.5492,-68.8827,12.02,G07036;G07096
167417695,99.7866,-69.6571,11.49,G07036;G07096
167419169,99.7489,-67.2224,10.54,G07036;G07096
167422188,99.8445,-69.5684,10.86,G07036;G07096
167888669,105.1122,-64.5703,10.2,G07036;G07096
167888675,105.1382,-64.5741,10.56,G07036;G07096
177079273,103.2263,-67.6133,12.21,G07036;G07096
177079274,103.2306,-67.6125,11.78,G07036;G07096
177170633,104.6847,-69.322,11.71,G07036;G07096;G07096
177170648,104.6474,-69.3274,12.3,G07036;G07096;G07096
177308364,103.4222,-73.0758,9.41,G07036;G07096;20SECONDTARGET
177308369,103.4371,-73.0857,12.81,G07036;G07096
271808981,112.0601,-73.6616,11.98,G07036;G07096
271808983,112.0566,-73.6615,11.7,G07036;G07096
300561381,112.9142,-66.7146,11.0,G07036;G07096
306896251,122.2043,-70.7322,11.1,G07036;G07096;G07096
307490251,126.1586,-70.1598,8.89,G07036;G07096
307784873,128.2547,-70.8869,10.56,G07036;G07096;G07096
349376367,110.199,-64.3354,11.98,G07036;G07036;G07096
349409296,110.3278,-62.6638,11.22,G07036;G07096
349409297,110.3287,-62.663,11.21,G07036;G07096
349683698,112.5468,-63.4348,10.72,G07036;G07036;G07096
349831092,113.5891,-62.9083,11.21,G07036;G07096
349831145,113.6158,-62.9641,12.18,G07036;G07096
382519050,117.5079,-65.7671,12.34,G07036;G07096
382519052,117.5152,-65.7692,12.49,G07036;G07096
41361145,92.4114,-71.1647,11.55,G07036;G07096
41361147,92.4085,-71.1661,11.64,G07036;G07096
41529304,93.77,-68.0681,10.81,G07036;G07096
41529307,93.6704,-68.07,11.89,G07036;G07096
765326000,110.1994,-64.3352,12.54,G07036;G07096
765561909,112.5464,-63.4351,10.9,G07036;G07096
149302338,83.2191,-61.3464,12.56,G07036;G07096
149302339,83.2206,-61.3477,12.68,G07036;G07096
149449385,85.0131,-62.8795,12.17,G07036;G07096
149449388,85.018,-62.8767,12.38,G07036;G07096
150101616,92.0065,-63.4993,10.92,G07036;G07077;G07096
150391195,96.6587,-63.1513,11.03,G07036;G07096
167552090,100.862,-63.8374,10.81,G07036;G07096
167554037,101.0034,-60.308,12.72,G07036;G07096
167554039,101.0056,-60.3079,11.92,G07036;G07096
167755378,104.2042,-62.1672,9.79,G07036;G07096
260369147,95.2023,-57.0272,10.1,G07036;G07096
278775329,99.728,-55.6771,10.31,G07036;G07077;G07096
278990528,101.9468,-58.8387,12.11,G07077;G07096
349154302,108.2092,-61.8453,11.35,G07036;G07036;G07096
350345733,84.7217,-56.458,11.41,G07036;G07096
350744311,88.8988,-55.9311,11.43,G07036;G07036;G07096
350858673,90.2301,-54.8985,11.41,G07077;G07096
350933090,90.7713,-59.1007,12.86,G07036;G07096
350933091,90.7779,-59.1013,11.02,G07036;G07096
734531490,84.7203,-56.4576,12.51,G07036;G07036;G07096
734548584,88.8992,-55.9311,11.56,G07036;G07096
737165370,96.6597,-63.1509,12.22,G07036;G07096
765419968,100.8606,-63.837,11.14,G07036;G07096
765444984,108.2097,-61.8447,11.38,G07036;G07096
149180076,81.7763,-65.5512,11.09,G07036;G07096
149180088,81.7685,-65.5566,10.6,G07036;G07096;G07096
231742782,78.0842,-67.1316,11.26,G07036;G07096;G07096
231742789,78.0961,-67.1333,10.73,G07036;G07096;G07096
237923291,57.3259,-63.9194,11.78,G07036;G07096
237927164,57.9957,-65.8156,11.03,G07036;G07096
237927165,57.9988,-65.8153,12.69,G07036;G07096
237930237,58.3626,-65.249,11.8,G07077;G07096
25131889,62.2077,-67.1806,12.13,G07036;G07096
25131892,62.2069,-67.1822,11.42,G07036;G07096
29781832,64.9991,-66.3541,11.9,G07077;G07096
309659124,79.5084,-60.6881,10.75,G07036;G07096
309659126,79.5065,-60.69,10.11,G07036;G07071;G07096
31961121,54.8399,-68.0661,12.6,G07036;G07096
31961123,54.8482,-68.0645,12.15,G07036;G07096
32032672,56.0221,-68.5124,11.43,G07036;G07077;G07096;G07096
32032862,56.1708,-67.8853,12.58,G07036;G07096
32032865,56.1395,-67.8741,12.06,G07036;G07096
32052607,57.3142,-67.9925,11.02,G07036;G07096
32052608,57.3188,-67.9921,10.36,G07036;G07096
358806516,72.4559,-60.7481,10.49,G07036;G07096
358806522,72.4694,-60.7308,12.01,G07036;G07096
38507951,62.1995,-62.3815,11.82,G07036;G07096
