TICID,RA,Dec,Tmag,Keywords
710246243,80.1564,-8.9682,19.53,G08036
710268340,83.9434,-8.8028,20.11,G08036
167485724,71.9759,-10.1787,14.62,G08036;G08184
398792541,72.2612,-18.6915,17.51,G08036
671300398,73.6951,-18.204,20.11,G08036
671361433,76.7469,-16.9921,18.4,G08036;G08079
671420233,75.7778,-13.8004,19.74,G08036;G08079
671620313,74.5942,-10.9259,19.29,G08036
100509149,85.8365,-34.888,17.39,G08088;G08036;G08079
117665257,95.8397,-35.6817,16.23,G08036
140284119,85.3285,-35.4042,17.08,G08088;G08036;G08079
201433128,92.5246,-34.1012,14.86,G08036
393454618,94.7914,-37.9591,18.34,G08036
705379842,89.3424,-36.5133,19.82,G08036
705396133,91.9463,-37.6556,19.93,G08036
705486718,86.6373,-36.4982,19.02,G08036
705517724,85.8897,-35.2927,18.06,G08088;G08036;G08079
705606094,91.1325,-31.4995,19.53,G08036
705620001,90.1143,-30.3722,19.25,G08036
705640893,94.5753,-34.1026,19.77,G08036
705708633,94.4299,-32.0075,18.82,G08036
705972490,91.3758,-30.0977,18.56,G08036
706259273,88.956,-30.5179,19.55,G08036
706312306,81.1367,-31.8674,20.52,G08036
734915451,88.199,-39.9144,20.1,G08036
735063673,81.4933,-34.4573,18.62,G08036;G08079
738231112,94.3974,-38.7782,18.13,G08036
738244230,95.6524,-38.5618,18.91,G08036
685612927,73.3565,-42.2276,19.95,G08088;G08036
685629068,76.783,-41.7742,18.73,G08088;G08036
685789411,76.7497,-35.9222,19.33,G08036;G08079
685789859,76.7865,-35.8024,17.92,G08036
686102046,74.6336,-32.8169,19.07,G08036;G08079
686105679,75.1177,-32.1339,20.61,G08036
219367087,75.4883,-48.6503,17.64,G08036
219427639,80.3076,-52.0498,15.94,G08036
259394088,69.3485,-49.9368,15.91,G08036
685206943,78.6066,-52.8978,19.37,G08036
685301112,73.0859,-53.4748,20.07,G08036
685419981,71.6644,-51.5484,18.99,G08036
685452825,74.9973,-47.6356,19.78,G08036
685454933,73.2619,-49.3578,18.29,G08036
685478902,66.9017,-49.7296,18.55,G08036
685549881,78.0945,-47.3405,18.58,G08036
685556818,77.9078,-46.0934,19.07,G08036
156933503,99.4314,-45.4512,14.92,G08088;G08036;G08108
219203188,92.6403,-48.7403,13.01,G08036;G08158
238914789,93.9946,-51.9066,14.87,G08036
238922337,94.338,-49.6502,17.75,G08036
255638398,98.2048,-52.5404,16.04,G08036
255756592,99.5819,-48.9877,17.73,G08036;G08079
270674067,87.4391,-49.3656,16.83,G08036
734640935,88.4548,-52.846,20.65,G08088;G08036
734654542,89.8425,-51.4269,19.96,G08036
734664802,86.2496,-52.4073,20.08,G08036
734701398,86.9098,-49.0885,19.94,G08036
734716231,88.3866,-48.115,20.41,G08036
737583548,93.9214,-52.722,19.18,G08036
737679488,90.2717,-51.4367,18.45,G08088;G08036
737680242,90.4568,-51.1279,19.77,G08036
737931193,94.4916,-45.8076,18.44,G08036
737956271,92.3529,-45.2503,19.82,G08036
255594396,96.9628,-53.7548,17.27,G08036
260042074,91.4072,-57.095,18.78,G08036
260656374,98.0639,-54.7152,17.74,G08036
293271581,98.9003,-62.6401,12.47,G08088;G08036;G08108
319433337,100.1535,-52.7016,16.92,G08036
350765919,89.3022,-59.5904,14.18,G08088;G08036;G08108
734510928,87.27,-56.9143,19.4,G08036
737169802,98.7977,-62.6742,19.55,G08036
737283511,99.7463,-60.2736,18.87,G08036
737398692,99.5238,-58.4145,18.2,G08036
737406871,99.485,-57.051,18.47,G08036
737425029,92.4144,-58.3584,19.25,G08036
737436327,97.2233,-57.3473,17.45,G08088;G08036
765772936,111.7523,-59.8545,20.03,G08036
766022861,101.355,-62.1131,18.9,G08036
766040448,105.3749,-60.6125,20.34,G08036
766045803,106.1788,-60.4074,19.88,G08036
766221761,107.8065,-59.4066,19.64,G08036
382256692,82.3691,-58.9128,14.14,G08088;G08036;G08108
38634085,65.1657,-62.7502,16.86,G08088;G08036
685096235,78.9458,-61.1605,19.8,G08036
685099661,79.247,-60.3257,20.32,G08036
685239653,70.9532,-59.8184,17.97,G08088;G08036
685268302,66.411,-57.2433,17.07,G08036;20SECONDTARGET
734303634,83.933,-61.6264,18.77,G08036
10000259393,66.0065,-74.0833,16.79,G08036
141611784,89.1704,-75.1602,15.96,G08036
358154354,70.4199,-76.6126,16.48,G08088;G08036;G08158
40274375,77.106,-68.4395,13.35,G08036
471013553,85.8925,-68.3728,15.8,G08036
650126540,52.7994,-76.4383,18.64,G08036
650333764,58.4703,-70.6693,20.57,G08036
675203636,61.5912,-76.8474,19.68,G08036;G08079
676089721,79.2456,-71.2988,19.99,G08036
677356862,61.4251,-71.54,19.97,G08036
735202443,90.9407,-76.8931,19.32,G08036
735229757,96.8354,-75.226,20.36,G08036
167166031,96.5941,-69.7739,15.84,G08036
177079275,103.2988,-67.6118,15.07,G08088;G08036;G08079
177118939,104.1638,-67.0379,17.48,G08036
272466578,120.5084,-74.7237,19.28,G08036
287636631,125.2758,-72.3366,16.55,G08036;G08079;G08158
349408306,110.4262,-64.0141,15.85,G08088;G08036;G08108;20SECONDTARGET
349572491,111.7662,-63.3312,14.82,G08088;G08036;G08108;G08158
736592653,97.9031,-67.0527,19.15,G08036
764640926,112.6414,-74.4107,19.37,G08036
764733840,110.2238,-73.8236,19.87,G08036
764773501,116.0179,-72.0579,20.03,G08036
764797680,105.6306,-72.8086,19.27,G08036
764862517,103.2957,-71.7874,19.26,G08036
764954714,105.8019,-69.6388,18.53,G08036
764968379,105.1121,-69.0217,19.8,G08036
765093219,118.8988,-67.0058,18.95,G08036
765120993,117.2646,-65.8908,19.85,G08036
765180733,100.2845,-69.621,18.49,G08036
765220618,106.9631,-67.3767,18.8,G08036
765228176,104.3311,-67.3237,18.39,G08036
765372300,106.2053,-64.6154,18.34,G08036
765483790,112.2326,-65.3579,18.73,G08036
765565354,110.6368,-63.9634,19.56,G08036
805230329,128.139,-71.0264,18.44,G08036
805437603,133.1056,-69.5685,19.87,G08036
805783607,123.106,-71.2436,17.25,G08036
805821090,126.5667,-69.8809,19.66,G08036
